深圳,西丽,22.562198,113.955174,22.5819675212,113.957499692
深圳,光明,22.561985,113.905039,22.764018324,113.949231522
深圳,八卦岭/园岭,22.557067,114.100892,22.5656773009,114.105849097
深圳,国贸,22.539835,114.118889,22.5475241953,114.125323642
深圳,深圳火车北站,22.531844,114.117273,22.6156230943,114.035945164
天津,开发区乐购,39.03432,117.689172,39.039807861,117.695474067
天津,榆关道,39.1805991,117.1902211,39.1880415206,117.200047254
天津,创意街/水木天成,39.1644058,117.1339188,39.1683619488,117.139966115
天津,王稳庄,38.892664,117.266064,38.8941083135,117.278389253
天津,华苑,39.087165,117.12876,39.0949117535,117.130291321
长沙,社港镇,28.470992,113.564957,28.476949704,113.571128319
长沙,解放西路,28.1914053,112.9781111,28.197070033,112.98520622
长沙,洞阳镇,28.210663,113.405652,28.2165077905,113.412098934
长沙,麓谷,28.2079293,112.8923503,28.2208156793,112.905181049
长沙,劳动广场,28.178532,112.975039,28.1844009407,112.982102828
重庆,高阳镇,31.095795,108.681484,31.1014808873,108.687884939
重庆,武平镇,29.7743,108.093481,29.7860967899,108.105147495
重庆,草街街道,29.9979755,106.3907765,30.0038185929,106.397184539
重庆,鸡鸣乡,31.710607,108.603861,31.7168345306,108.610346056
重庆,花桥镇,30.355519,107.703438,29.5477493027,105.904425672
上海,百联世纪/96广场,31.227342,121.525053,31.2336291432,121.532011245
上海,万体馆,31.1870194,121.4370782,31.1946271097,121.44852397
上海,虹梅路,31.167811,121.3990601,31.1648382025,121.410811267
上海,港西镇,31.687751,121.415776,31.6934283775,121.422696812
上海,徐泾,31.172866,121.272604,30.9634943794,121.160187983
南京,固城镇,31.309876,118.97308,31.307958046,118.977305598
南京,岔路口,32.115308,118.585865,32.0572355018,118.778074408 31.9735480000,118.8236310000
南京,瑞金路沿线,32.02928,118.813875,32.0382706071,118.816940261 32.0382970000,118.8208320000
南京,桠溪镇,31.368509,119.16738,31.374824057,119.173783759
南京,东城汇,32.09784,118.909879,32.1033548531,118.914016282
苏州,万达广场,31.344905,120.614004,31.3485481717,120.62006668
苏州,塔园路,31.2945424,120.5574894,31.301571816,120.563879503
苏州,通安镇,31.370668,120.459802,31.3768798146,120.466272813
苏州,平望镇,30.973935,120.639958,30.9796515247,120.646599462
苏州,经济开发区,31.185885,120.553682,31.317987368,120.619907115
北京,梨园,39.866448,116.662842,39.9372149452,116.116803199
北京,广外大街,39.889941,116.3368274,39.8953582583,116.343897763
北京,武夷花园,39.915618,116.692876,39.9202887835,116.701963105
北京,雁栖开发区,40.363337,116.666238,40.3621499127,116.690440879
北京,酒仙桥,39.965033,116.490728,39.994358272,116.496974618
杭州,城厢,30.160426,120.273899,30.2592444615,120.219375416
杭州,里商乡,29.489775,119.001499,29.4954243868,119.008187967
杭州,拱宸桥/上塘,30.3158545,120.147121,30.3108627497,120.157245732
杭州,城站火车站,30.2437929,120.1824729,30.2496642351,120.187965984
杭州,四季青,30.2465808,120.1931505,30.2523547463,120.201043336
无锡,八士,31.644736,120.398214,31.6585349757,120.39801739
无锡,新之城广场,31.5606353,120.3733014,31.5700374519,120.305455901
无锡,张泾,31.6579523,120.4364603,31.6680300517,120.450174355
无锡,查桥,31.581122,120.431334,31.6165549652,120.434944803
无锡,太湖花园,31.509502,120.247258,31.5612652523,120.355794551 UTF-8
